iso_country,iata_code,city_ascii,population
US,OCA,Key Largo,9952
US,KYL,Key Largo,9952
US,JCY,Johnson City,127571
US,JCY,Johnson City,14161
US,PMX,Palmer,21345
US,PMX,Palmer,12232
US,PMX,Palmer,7456
US,PAQ,Palmer,21345
US,PAQ,Palmer,12232
US,PAQ,Palmer,7456
US,DRF,Kenai,7807
US,ENA,Kenai,7807
US,BDF,Bradford,293277
US,BDF,Bradford,11311
US,BFD,Bradford,293277
US,BFD,Bradford,11311
US,VRS,Versailles,85205
US,VRS,Versailles,17298
US,WFB,Ketchikan,10652
US,KTN,Ketchikan,10652
US,BCS,Belle Chasse,14024
US,SPQ,San Pedro,326001
US,SPQ,San Pedro,49490
US,SPQ,San Pedro,58430
US,SPQ,San Pedro,47452
US,SPQ,San Pedro,11767
US,SPQ,San Pedro,9726
BZ,SPR,San Pedro,326001
BZ,SPR,San Pedro,49490
BZ,SPR,San Pedro,58430
BZ,SPR,San Pedro,47452
BZ,SPR,San Pedro,11767
BZ,SPR,San Pedro,9726
US,TSS,New York,18713220
US,QNY,New York,18713220
US,JPB,New York,18713220
US,JRA,New York,18713220
US,JRB,New York,18713220
US,JFK,New York,18713220
US,LGA,New York,18713220
US,BWL,Blackwell,6562
US,FOB,Fort Bragg,10374
US,FBG,Fort Bragg,10374
US,PUL,Poulsbo,11168
US,CCD,Los Angeles,12750807
US,CCD,Los Angeles,143023
US,LAX,Los Angeles,12750807
US,LAX,Los Angeles,143023
US,WHP,Los Angeles,12750807
US,WHP,Los Angeles,143023
CL,LSQ,Los Angeles,12750807
CL,LSQ,Los Angeles,143023
US,SFR,Los Angeles,12750807
US,SFR,Los Angeles,143023
US,REE,Lubbock,267648
US,LBB,Lubbock,267648
US,MXG,Marlboro,39982
ES,AEI,Algeciras,122982
ES,AEI,Algeciras,24708
CN,AEQ,Chifeng,4341245
CN,CIF,Chifeng,4341245
SB,RNA,Arona,82563
SB,RNA,Arona,13966
SB,AKS,Auki,
SB,HIR,Honiara,84520
SB,IRA,Kirakira,
SB,GZO,Gizo,6154
SB,RUS,Marau,36364
SB,RUS,Marau,21175
CN,AHJ,Aba,1530000
US,TWE,Taylor,60922
US,TWE,Taylor,17383
US,TWE,Taylor,5913
US,TYZ,Taylor,60922
US,TYZ,Taylor,17383
US,TYZ,Taylor,5913
US,TGE,Tuskegee,8142
AR,QRF,Bragado,33222
AR,CVI,Caleta Olivia,51733
AR,CNT,Charata,18297
AR,LMD,Los Menucos,5187
AR,NCJ,Sunchales,20537
AR,OLN,Sarmiento,10858
US,ARX,Asbury Park,15408
AU,TPR,Tom Price,3005
PG,CMU,Kundiawa,9383
PG,DAU,Daru,12879
PG,GRL,Au,7788
PG,PNP,Popondetta,28198
PG,HKN,Hoskins,871
PG,UNG,Kiunga,8265
KE,KIU,Kiunga,8265
PG,KMA,Kerema,5646
PG,KIE,Kieta,6958
PG,KVG,Kavieng,19849
AE,AYM,Abu Dhabi,1483000
AE,AUH,Abu Dhabi,1483000
PG,MRM,Manari,18083
PG,MAG,Madang,62023
PG,HGU,Mount Hagen,29765
PG,MDU,Mendi,26252
ET,NDM,Mendi,26252
PG,LAE,Lae,100677
PG,POM,Port Moresby,317374
PG,TIZ,Tari,
PG,UMC,Umba,6128
PG,VAI,Vanimo,11204
PG,WWK,Wewak,25143
PG,WUG,Wau,163442
SS,WUU,Wau,163442
PG,SMJ,Sim,12893
US,AYZ,Amityville,9399
AZ,ZXT,Baku,2181800
AZ,GYD,Baku,2181800
US,BKG,Branson,25033
US,ILL,Willmar,20510
DE,BER,Berlin,3664088
DE,BER,Berlin,20484
DE,BER,Berlin,11237
DE,BER,Berlin,7536
DE,BER,Berlin,5385
DE,SXF,Berlin,3664088
DE,SXF,Berlin,20484
DE,SXF,Berlin,11237
DE,SXF,Berlin,7536
DE,SXF,Berlin,5385
DE,THF,Berlin,3664088
DE,THF,Berlin,20484
DE,THF,Berlin,11237
DE,THF,Berlin,7536
DE,THF,Berlin,5385
DE,TXL,Berlin,3664088
DE,TXL,Berlin,20484
DE,TXL,Berlin,11237
DE,TXL,Berlin,7536
DE,TXL,Berlin,5385
US,BML,Berlin,3664088
US,BML,Berlin,20484
US,BML,Berlin,11237
US,BML,Berlin,7536
US,BML,Berlin,5385
BG,HKV,Haskovo,72016
BG,JAM,Yambol,70782
GL,JEG,Aasiaat,3069
GL,UAK,Narsarsuaq,145
GL,JCH,Qasigiannguit,1081
GL,GOH,Nuuk,18326
GL,JJU,Qaqortoq,3093
GL,JAV,Ilulissat,4670
GL,KUS,Kulusuk,286
GL,JFR,Paamiut,1429
GL,NAQ,Qaanaaq,646
GL,JHS,Sisimiut,5539
GL,JUV,Upernavik,1092
GL,UMD,Uummannaq,1407
GL,JQA,Uummannaq,1407
IS,AEY,Akureyri,18925
IS,RKV,Reykjavik,128793
PH,BNQ,Baganga,58714
PG,BNT,Bundi,103286
BO,BVL,Baures,2422
US,BOF,Washington,5379184
US,BOF,Washington,67158
US,BOF,Washington,47833
US,BOF,Washington,29174
US,BOF,Washington,18429
US,BOF,Washington,16516
US,BOF,Washington,16014
US,BOF,Washington,15357
US,BOF,Washington,14627
US,BOF,Washington,14417
US,BOF,Washington,13565
US,BOF,Washington,13433
US,BOF,Washington,9237
US,BOF,Washington,7230
US,BOF,Washington,7109
US,BOF,Washington,6748
US,BOF,Washington,5232
US,BZS,Washington,5379184
US,BZS,Washington,67158
US,BZS,Washington,47833
US,BZS,Washington,29174
US,BZS,Washington,18429
US,BZS,Washington,16516
US,BZS,Washington,16014
US,BZS,Washington,15357
US,BZS,Washington,14627
US,BZS,Washington,14417
US,BZS,Washington,13565
US,BZS,Washington,13433
US,BZS,Washington,9237
US,BZS,Washington,7230
US,BZS,Washington,7109
US,BZS,Washington,6748
US,BZS,Washington,5232
US,JPN,Washington,5379184
US,JPN,Washington,67158
US,JPN,Washington,47833
US,JPN,Washington,29174
US,JPN,Washington,18429
US,JPN,Washington,16516
US,JPN,Washington,16014
US,JPN,Washington,15357
US,JPN,Washington,14627
US,JPN,Washington,14417
US,JPN,Washington,13565
US,JPN,Washington,13433
US,JPN,Washington,9237
US,JPN,Washington,7230
US,JPN,Washington,7109
US,JPN,Washington,6748
US,JPN,Washington,5232
US,WSG,Washington,5379184
US,WSG,Washington,67158
US,WSG,Washington,47833
US,WSG,Washington,29174
US,WSG,Washington,18429
US,WSG,Washington,16516
US,WSG,Washington,16014
US,WSG,Washington,15357
US,WSG,Washington,14627
US,WSG,Washington,14417
US,WSG,Washington,13565
US,WSG,Washington,13433
US,WSG,Washington,9237
US,WSG,Washington,7230
US,WSG,Washington,7109
US,WSG,Washington,6748
US,WSG,Washington,5232
US,DCA,Washington,5379184
US,DCA,Washington,67158
US,DCA,Washington,47833
US,DCA,Washington,29174
US,DCA,Washington,18429
US,DCA,Washington,16516
US,DCA,Washington,16014
US,DCA,Washington,15357
US,DCA,Washington,14627
US,DCA,Washington,14417
US,DCA,Washington,13565
US,DCA,Washington,13433
US,DCA,Washington,9237
US,DCA,Washington,7230
US,DCA,Washington,7109
US,DCA,Washington,6748
US,DCA,Washington,5232
US,IAD,Washington,5379184
US,IAD,Washington,67158
US,IAD,Washington,47833
US,IAD,Washington,29174
US,IAD,Washington,18429
US,IAD,Washington,16516
US,IAD,Washington,16014
US,IAD,Washington,15357
US,IAD,Washington,14627
US,IAD,Washington,14417
US,IAD,Washington,13565
US,IAD,Washington,13433
US,IAD,Washington,9237
US,IAD,Washington,7230
US,IAD,Washington,7109
US,IAD,Washington,6748
US,IAD,Washington,5232
US,OCW,Washington,5379184
US,OCW,Washington,67158
US,OCW,Washington,47833
US,OCW,Washington,29174
US,OCW,Washington,18429
US,OCW,Washington,16516
US,OCW,Washington,16014
US,OCW,Washington,15357
US,OCW,Washington,14627
US,OCW,Washington,14417
US,OCW,Washington,13565
US,OCW,Washington,13433
US,OCW,Washington,9237
US,OCW,Washington,7230
US,OCW,Washington,7109
US,OCW,Washington,6748
US,OCW,Washington,5232
US,BOK,Brookings,24887
US,BOK,Brookings,11162
US,BKX,Brookings,24887
US,BKX,Brookings,11162
BR,ALT,Alenquer,54960
BR,ALT,Alenquer,43267
LK,BYV,Colombo,752993
LK,BYV,Colombo,212967
LK,DGM,Colombo,752993
LK,DGM,Colombo,212967
LK,KEZ,Colombo,752993
LK,KEZ,Colombo,212967
LK,CMB,Colombo,752993
LK,CMB,Colombo,212967
LK,RML,Colombo,752993
LK,RML,Colombo,212967
BZ,BCV,Belmopan,17222
BZ,CZH,Corozal,8800
BZ,CZH,Corozal,70853
BZ,CZH,Corozal,9031
CO,CZU,Corozal,8800
CO,CZU,Corozal,70853
CO,CZU,Corozal,9031
BZ,DGA,Dangriga,9096
BZ,INB,Independence,116672
BZ,INB,Independence,28521
BZ,INB,Independence,10272
BZ,INB,Independence,8931
BZ,INB,Independence,7175
BZ,INB,Independence,6124
BZ,INB,Independence,5450
US,IDP,Independence,116672
US,IDP,Independence,28521
US,IDP,Independence,10272
US,IDP,Independence,8931
US,IDP,Independence,7175
US,IDP,Independence,6124
US,IDP,Independence,5450
BZ,ORZ,Orange Walk,18000
BZ,PND,Punta Gorda,5026
BZ,PND,Punta Gorda,20369
US,PGD,Punta Gorda,5026
US,PGD,Punta Gorda,20369
BZ,SQS,San Ignacio,16977
BZ,SQS,San Ignacio,50468
MX,SGM,San Ignacio,16977
MX,SGM,San Ignacio,50468
BZ,CYD,San Ignacio,16977
BZ,CYD,San Ignacio,50468
BZ,STU,Santa Cruz,3151676
BZ,STU,Santa Cruz,208563
BZ,STU,Santa Cruz,176428
BZ,STU,Santa Cruz,123574
BZ,STU,Santa Cruz,101125
BZ,STU,Santa Cruz,
BZ,STU,Santa Cruz,63839
BZ,STU,Santa Cruz,54692
BZ,STU,Santa Cruz,43005
BZ,STU,Santa Cruz,42417
BZ,STU,Santa Cruz,41366
BZ,STU,Santa Cruz,35797
BZ,STU,Santa Cruz,11262
BZ,STU,Santa Cruz,6579
AR,RZA,Santa Cruz,3151676
AR,RZA,Santa Cruz,208563
AR,RZA,Santa Cruz,176428
AR,RZA,Santa Cruz,123574
AR,RZA,Santa Cruz,101125
AR,RZA,Santa Cruz,
AR,RZA,Santa Cruz,63839
AR,RZA,Santa Cruz,54692
AR,RZA,Santa Cruz,43005
AR,RZA,Santa Cruz,42417
AR,RZA,Santa Cruz,41366
AR,RZA,Santa Cruz,35797
AR,RZA,Santa Cruz,11262
AR,RZA,Santa Cruz,6579
BO,SRZ,Santa Cruz,3151676
BO,SRZ,Santa Cruz,208563
BO,SRZ,Santa Cruz,176428
BO,SRZ,Santa Cruz,123574
BO,SRZ,Santa Cruz,101125
BO,SRZ,Santa Cruz,
BO,SRZ,Santa Cruz,63839
BO,SRZ,Santa Cruz,54692
BO,SRZ,Santa Cruz,43005
BO,SRZ,Santa Cruz,42417
BO,SRZ,Santa Cruz,41366
BO,SRZ,Santa Cruz,35797
BO,SRZ,Santa Cruz,11262
BO,SRZ,Santa Cruz,6579
BO,VVI,Santa Cruz,3151676
BO,VVI,Santa Cruz,208563
BO,VVI,Santa Cruz,176428
BO,VVI,Santa Cruz,123574
BO,VVI,Santa Cruz,101125
BO,VVI,Santa Cruz,
BO,VVI,Santa Cruz,63839
BO,VVI,Santa Cruz,54692
BO,VVI,Santa Cruz,43005
BO,VVI,Santa Cruz,42417
BO,VVI,Santa Cruz,41366
BO,VVI,Santa Cruz,35797
BO,VVI,Santa Cruz,11262
BO,VVI,Santa Cruz,6579
BZ,TZA,Belize City,57169
BZ,BZE,Belize City,57169
CA,ZNA,Nanaimo,90504
CA,YCD,Nanaimo,90504
CA,YZZ,Trail,7709
CA,YMB,Merritt,7139
CA,YHH,Campbell River,35138
CA,YBL,Campbell River,35138
CA,YWS,Whistler,11854
CA,YCA,Courtenay,25599
CA,CFQ,Creston,7713
CA,CFQ,Creston,5351
US,CSQ,Creston,7713
US,CSQ,Creston,5351
CA,DUQ,Duncan,44451
CA,DUQ,Duncan,22344
US,DUC,Duncan,44451
US,DUC,Duncan,22344
CA,YHS,Sechelt,10200
CA,XQU,Qualicum Beach,8943
CA,YPB,Port Alberni,17678
CA,ZFW,Fairview,14189
CA,ZFW,Fairview,17399
CA,ZFW,Fairview,10532
CA,ZFW,Fairview,10106
CA,ZFW,Fairview,9567
CA,ZFW,Fairview,9146
CA,ZFW,Fairview,9141
CA,ZFW,Fairview,6540
CA,ZFW,Fairview,5486
CA,YJP,Hinton,9882
CA,YDC,Drayton Valley,7235
CA,CFM,Conklin,5179
CA,ZSP,St. Paul,308096
CA,ZSP,St. Paul,5827
US,CGA,Craig,9553
US,CIG,Craig,9553
PH,CGG,Casiguran,35602
PH,CGG,Casiguran,26564
US,CLC,Clear Lake,7711
CN,TVS,Tangshan,7577289
CN,INC,Yinchuan,1993088
CN,ZQZ,Zhangjiakou,4345485
CN,LNJ,Lincang,2536000
CN,ZKL,Zigong,2678899
CN,FUO,Foshan,7905700
CN,HUZ,Huizhou,4830000
CN,HSC,Shaoguan,2997600
CN,JGS,Ji'an,4956600
CN,AAT,Altay,142000
CN,AAT,Altay,15800
CN,YZY,Zhangye,1199515
CN,DDG,Dandong,2444697
CN,NTG,Nantong,7283622
CA,YPD,Parry Sound,6408
CA,XBR,Brockville,21854
CO,PRM,Bogota,7743955
CO,PRM,Bogota,8335
CO,BOG,Bogota,7743955
CO,BOG,Bogota,8335
CO,ARQ,Arauquita,41309
CO,LCR,La Chorrera,68896
CA,SSQ,La Sarre,7719
US,EHT,East Hartford,50272
CA,TR7,Ottawa,989567
CA,TR7,Ottawa,19839
CA,TR7,Ottawa,12254
CA,TR7,Ottawa,5147
CA,YOW,Ottawa,989567
CA,YOW,Ottawa,19839
CA,YOW,Ottawa,12254
CA,YOW,Ottawa,5147
CA,YRO,Ottawa,989567
CA,YRO,Ottawa,19839
CA,YRO,Ottawa,12254
